,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
0,JD2007.DCE,20191218,3603.0,3618.0,3583.0,3626.0,3563.0,3617.0,3610.0,-1.0,-8.0,868.0,3133.82,9026.0,252.0
1,JD2007.DCE,20191217,3617.0,3618.0,3629.0,3631.0,3596.0,3603.0,3618.0,-15.0,0.0,1272.0,4603.07,8774.0,268.0
2,JD2007.DCE,20191216,3605.0,3636.0,3598.0,3636.0,3583.0,3617.0,3618.0,-19.0,-18.0,1370.0,4957.58,8506.0,112.0
3,JD2007.DCE,20191213,3692.0,3696.0,3699.0,3699.0,3602.0,3605.0,3636.0,-91.0,-60.0,2324.0,8450.66,8394.0,676.0
4,JD2007.DCE,20191212,3689.0,3724.0,3699.0,3711.0,3680.0,3692.0,3696.0,-32.0,-28.0,820.0,3030.75,7718.0,34.0
5,JD2007.DCE,20191211,3748.0,3762.0,3737.0,3773.0,3685.0,3689.0,3724.0,-73.0,-38.0,2050.0,7634.24,7684.0,562.0
6,JD2007.DCE,20191210,3782.0,3839.0,3784.0,3798.0,3725.0,3748.0,3762.0,-91.0,-77.0,1732.0,6516.15,7122.0,-384.0
7,JD2007.DCE,20191209,3970.0,3981.0,3900.0,3963.0,3782.0,3782.0,3839.0,-199.0,-142.0,2818.0,10820.04,7506.0,476.0
8,JD2007.DCE,20191206,3992.0,3995.0,3993.0,4000.0,3960.0,3970.0,3981.0,-25.0,-14.0,876.0,3488.22,7030.0,100.0
9,JD2007.DCE,20191205,3998.0,3995.0,4005.0,4008.0,3969.0,3992.0,3995.0,-3.0,0.0,590.0,2357.29,6930.0,-102.0
10,JD2007.DCE,20191204,4003.0,3987.0,3990.0,4008.0,3979.0,3998.0,3995.0,11.0,8.0,1258.0,5026.56,7032.0,516.0
11,JD2007.DCE,20191203,4026.0,3989.0,4035.0,4035.0,3969.0,4003.0,3987.0,14.0,-2.0,1562.0,6227.91,6516.0,304.0
12,JD2007.DCE,20191202,3898.0,3889.0,3930.0,4029.0,3918.0,4026.0,3989.0,137.0,100.0,2668.0,10645.26,6212.0,448.0
13,JD2007.DCE,20191129,3893.0,3888.0,3890.0,3910.0,3872.0,3898.0,3889.0,10.0,1.0,880.0,3422.94,5764.0,20.0
14,JD2007.DCE,20191128,3890.0,3926.0,3886.0,3909.0,3868.0,3893.0,3888.0,-33.0,-38.0,704.0,2737.57,5744.0,-94.0
15,JD2007.DCE,20191127,3954.0,3954.0,3966.0,3970.0,3878.0,3890.0,3926.0,-64.0,-28.0,1004.0,3942.06,5838.0,302.0
16,JD2007.DCE,20191126,3940.0,3935.0,3950.0,3970.0,3936.0,3954.0,3954.0,19.0,19.0,618.0,2444.14,5536.0,388.0
17,JD2007.DCE,20191125,3946.0,3924.0,3940.0,3955.0,3915.0,3940.0,3935.0,16.0,11.0,414.0,1629.27,5148.0,146.0
18,JD2007.DCE,20191122,3916.0,3945.0,3920.0,3957.0,3897.0,3946.0,3924.0,1.0,-21.0,462.0,1812.91,5002.0,-146.0
19,JD2007.DCE,20191121,3962.0,3973.0,3960.0,3977.0,3903.0,3916.0,3945.0,-57.0,-28.0,900.0,3550.78,5148.0,2.0
20,JD2007.DCE,20191120,3964.0,3961.0,3968.0,3995.0,3960.0,3962.0,3973.0,1.0,12.0,606.0,2407.96,5146.0,-6.0
21,JD2007.DCE,20191119,3950.0,3915.0,3960.0,3974.0,3953.0,3964.0,3961.0,49.0,46.0,462.0,1830.35,5152.0,-100.0
22,JD2007.DCE,20191118,3962.0,3961.0,3900.0,3966.0,3844.0,3950.0,3915.0,-11.0,-46.0,852.0,3336.37,5252.0,-166.0
23,JD2007.DCE,20191115,3962.0,3961.0,3941.0,3979.0,3925.0,3962.0,3961.0,1.0,0.0,1188.0,4706.39,5418.0,-128.0
24,JD2007.DCE,20191114,3947.0,3953.0,3952.0,3973.0,3949.0,3962.0,3961.0,9.0,8.0,440.0,1742.85,5546.0,130.0
25,JD2007.DCE,20191113,3968.0,3950.0,3960.0,3979.0,3935.0,3947.0,3953.0,-3.0,3.0,1166.0,4610.21,5416.0,258.0
26,JD2007.DCE,20191112,3968.0,3983.0,3901.0,3981.0,3901.0,3968.0,3950.0,-15.0,-33.0,1482.0,5854.85,5158.0,782.0
27,JD2007.DCE,20191111,4091.0,4112.0,4064.0,4064.0,3956.0,3968.0,3983.0,-144.0,-129.0,1600.0,6373.56,4376.0,232.0
28,JD2007.DCE,20191108,4116.0,4121.0,4157.0,4159.0,4080.0,4091.0,4112.0,-30.0,-9.0,884.0,3635.72,4144.0,-122.0
29,JD2007.DCE,20191107,4100.0,4136.0,4108.0,4149.0,4091.0,4116.0,4121.0,-20.0,-15.0,852.0,3511.7,4266.0,-106.0
30,JD2007.DCE,20191106,4166.0,4174.0,4164.0,4195.0,4096.0,4100.0,4136.0,-74.0,-38.0,1294.0,5352.77,4372.0,-146.0
31,JD2007.DCE,20191105,4189.0,4190.0,4170.0,4207.0,4152.0,4166.0,4174.0,-24.0,-16.0,964.0,4023.95,4518.0,214.0
32,JD2007.DCE,20191104,4184.0,4131.0,4235.0,4239.0,4148.0,4189.0,4190.0,58.0,59.0,1374.0,5758.13,4304.0,256.0
33,JD2007.DCE,20191101,4067.0,4087.0,4058.0,4198.0,4045.0,4184.0,4131.0,97.0,44.0,1486.0,6139.09,4048.0,294.0
34,JD2007.DCE,20191031,4089.0,4089.0,4080.0,4120.0,4057.0,4067.0,4087.0,-22.0,-2.0,1570.0,6418.05,3754.0,-220.0
35,JD2007.DCE,20191030,4075.0,4080.0,4118.0,4118.0,4065.0,4089.0,4089.0,9.0,9.0,812.0,3320.72,3974.0,142.0
36,JD2007.DCE,20191029,4099.0,4076.0,4080.0,4135.0,4030.0,4075.0,4080.0,-1.0,4.0,1602.0,6536.55,3832.0,206.0
37,JD2007.DCE,20191028,3948.0,3918.0,4034.0,4110.0,3993.0,4099.0,4076.0,181.0,158.0,1906.0,7769.94,3626.0,598.0
38,JD2007.DCE,20191025,3853.0,3841.0,3841.0,3976.0,3841.0,3948.0,3918.0,107.0,77.0,1822.0,7139.66,3028.0,-640.0
39,JD2007.DCE,20191024,3836.0,3852.0,3848.0,3867.0,3831.0,3853.0,3841.0,1.0,-11.0,250.0,960.47,3668.0,-44.0
40,JD2007.DCE,20191023,3841.0,3847.0,3844.0,3895.0,3817.0,3836.0,3852.0,-11.0,5.0,792.0,3050.94,3712.0,42.0
41,JD2007.DCE,20191022,3890.0,3849.0,3900.0,3903.0,3821.0,3841.0,3847.0,-8.0,-2.0,618.0,2377.97,3670.0,-84.0
42,JD2007.DCE,20191021,3720.0,3720.0,3780.0,3906.0,3735.0,3890.0,3849.0,170.0,129.0,2206.0,8491.96,3754.0,-346.0
43,JD2007.DCE,20191018,3716.0,3701.0,3720.0,3728.0,3708.0,3720.0,3720.0,19.0,19.0,346.0,1287.36,4100.0,120.0
44,JD2007.DCE,20191017,3690.0,3682.0,3695.0,3724.0,3661.0,3716.0,3701.0,34.0,19.0,258.0,955.03,3980.0,18.0
45,JD2007.DCE,20191016,3678.0,3671.0,3687.0,3696.0,3672.0,3690.0,3682.0,19.0,11.0,282.0,1038.53,3962.0,-20.0
46,JD2007.DCE,20191015,3684.0,3699.0,3686.0,3697.0,3645.0,3678.0,3671.0,-21.0,-28.0,622.0,2283.85,3982.0,224.0
47,JD2007.DCE,20191014,3736.0,3749.0,3740.0,3745.0,3683.0,3684.0,3699.0,-65.0,-50.0,626.0,2316.11,3758.0,472.0
48,JD2007.DCE,20191011,3784.0,3762.0,3777.0,3783.0,3733.0,3736.0,3749.0,-26.0,-13.0,394.0,1477.41,3286.0,206.0
49,JD2007.DCE,20191010,3761.0,3771.0,3767.0,3784.0,3752.0,3784.0,3762.0,13.0,-9.0,406.0,1527.48,3080.0,270.0
50,JD2007.DCE,20191009,3776.0,3781.0,3781.0,3782.0,3750.0,3761.0,3771.0,-20.0,-10.0,350.0,1319.94,2810.0,116.0
51,JD2007.DCE,20191008,3763.0,3740.0,3797.0,3800.0,3762.0,3776.0,3781.0,36.0,41.0,198.0,748.76,2694.0,98.0
52,JD2007.DCE,20190930,3801.0,3798.0,3781.0,3781.0,3722.0,3763.0,3740.0,-35.0,-58.0,358.0,1338.93,2596.0,64.0
53,JD2007.DCE,20190927,3792.0,3803.0,3796.0,3806.0,3786.0,3801.0,3798.0,-2.0,-5.0,922.0,3502.3,2532.0,826.0
54,JD2007.DCE,20190926,3806.0,3804.0,3805.0,3809.0,3792.0,3792.0,3803.0,-12.0,-1.0,136.0,517.25,1706.0,16.0
55,JD2007.DCE,20190925,3810.0,3812.0,3805.0,3818.0,3796.0,3806.0,3804.0,-6.0,-8.0,326.0,1240.38,1690.0,110.0
56,JD2007.DCE,20190924,3825.0,3814.0,3819.0,3820.0,3806.0,3810.0,3812.0,-4.0,-2.0,78.0,297.38,1580.0,0.0
57,JD2007.DCE,20190923,3844.0,3838.0,3822.0,3825.0,3802.0,3825.0,3814.0,-13.0,-24.0,144.0,549.31,1580.0,66.0
58,JD2007.DCE,20190920,3831.0,3841.0,3848.0,3849.0,3810.0,3844.0,3838.0,3.0,-3.0,38.0,145.87,1514.0,-4.0
59,JD2007.DCE,20190919,3836.0,3839.0,3852.0,3852.0,3831.0,3831.0,3841.0,-8.0,2.0,8.0,30.73,1518.0,-4.0
60,JD2007.DCE,20190918,3834.0,3858.0,3832.0,3849.0,3831.0,3836.0,3839.0,-22.0,-19.0,78.0,299.45,1522.0,6.0
61,JD2007.DCE,20190917,3856.0,3833.0,3883.0,3898.0,3829.0,3834.0,3858.0,1.0,25.0,288.0,1111.3,1516.0,60.0
62,JD2007.DCE,20190916,3799.0,3792.0,3801.0,3863.0,3799.0,3856.0,3833.0,64.0,41.0,356.0,1364.77,1456.0,190.0
63,JD2007.DCE,20190912,3792.0,3788.0,3788.0,3804.0,3783.0,3799.0,3792.0,11.0,4.0,214.0,811.66,1266.0,34.0
64,JD2007.DCE,20190911,3784.0,3792.0,3795.0,3796.0,3782.0,3792.0,3788.0,0.0,-4.0,48.0,181.87,1232.0,10.0
65,JD2007.DCE,20190910,3807.0,3818.0,3817.0,3817.0,3783.0,3784.0,3792.0,-34.0,-26.0,208.0,788.75,1222.0,60.0
66,JD2007.DCE,20190909,3823.0,3829.0,3823.0,3823.0,3793.0,3807.0,3818.0,-22.0,-11.0,774.0,2955.9,1162.0,-572.0
67,JD2007.DCE,20190906,3838.0,3842.0,3849.0,3849.0,3812.0,3823.0,3829.0,-19.0,-13.0,402.0,1539.53,1734.0,-312.0
68,JD2007.DCE,20190905,3850.0,3848.0,3855.0,3856.0,3838.0,3838.0,3842.0,-10.0,-6.0,46.0,176.74,2046.0,-10.0
69,JD2007.DCE,20190904,3839.0,3851.0,3855.0,3855.0,3838.0,3850.0,3848.0,-1.0,-3.0,60.0,230.92,2056.0,0.0
70,JD2007.DCE,20190903,3832.0,3837.0,3843.0,3862.0,3831.0,3839.0,3851.0,2.0,14.0,556.0,2141.16,2056.0,400.0
71,JD2007.DCE,20190902,3837.0,3838.0,3838.0,3858.0,3818.0,3832.0,3837.0,-6.0,-1.0,660.0,2532.73,1656.0,648.0
72,JD2007.DCE,20190830,3842.0,3837.0,3845.0,3847.0,3830.0,3837.0,3838.0,0.0,1.0,120.0,460.6,1008.0,8.0
73,JD2007.DCE,20190829,3830.0,3850.0,3820.0,3850.0,3815.0,3842.0,3837.0,-8.0,-13.0,154.0,590.92,1000.0,-2.0
74,JD2007.DCE,20190828,3846.0,3836.0,3868.0,3887.0,3804.0,3830.0,3850.0,-6.0,14.0,198.0,762.31,1002.0,94.0
75,JD2007.DCE,20190827,3859.0,3864.0,3846.0,3847.0,3831.0,3846.0,3836.0,-18.0,-28.0,88.0,337.57,908.0,-26.0
76,JD2007.DCE,20190826,3847.0,3833.0,3895.0,3895.0,3814.0,3859.0,3864.0,26.0,31.0,342.0,1321.55,934.0,36.0
77,JD2007.DCE,20190823,3811.0,3808.0,3820.0,3850.0,3808.0,3847.0,3833.0,39.0,25.0,254.0,973.72,898.0,54.0
78,JD2007.DCE,20190822,3805.0,3802.0,3803.0,3828.0,3798.0,3811.0,3808.0,9.0,6.0,68.0,258.98,844.0,2.0
79,JD2007.DCE,20190821,3756.0,3752.0,3762.0,3836.0,3762.0,3805.0,3802.0,53.0,50.0,212.0,806.21,842.0,-18.0
80,JD2007.DCE,20190820,3768.0,3769.0,3763.0,3763.0,3748.0,3756.0,3752.0,-13.0,-17.0,32.0,120.08,860.0,-8.0
81,JD2007.DCE,20190819,3785.0,3786.0,3775.0,3784.0,3755.0,3768.0,3769.0,-18.0,-17.0,428.0,1613.19,868.0,58.0
82,JD2007.DCE,20190816,3789.0,3785.0,3807.0,3807.0,3768.0,3785.0,3786.0,0.0,1.0,224.0,848.11,810.0,26.0
83,JD2007.DCE,20190815,3760.0,3764.0,3758.0,3791.0,3758.0,3789.0,3785.0,25.0,21.0,82.0,310.42,784.0,-16.0
84,JD2007.DCE,20190814,3777.0,3770.0,3788.0,3788.0,3756.0,3760.0,3764.0,-10.0,-6.0,156.0,587.28,800.0,120.0
85,JD2007.DCE,20190813,3788.0,3788.0,3752.0,3797.0,3751.0,3777.0,3770.0,-11.0,-18.0,200.0,754.15,680.0,56.0
86,JD2007.DCE,20190812,3805.0,3790.0,3800.0,3800.0,3772.0,3788.0,3788.0,-2.0,-2.0,102.0,386.41,624.0,56.0
87,JD2007.DCE,20190809,3803.0,3826.0,3799.0,3833.0,3775.0,3805.0,3790.0,-21.0,-36.0,266.0,1008.28,568.0,134.0
88,JD2007.DCE,20190808,3846.0,3848.0,3840.0,3842.0,3803.0,3803.0,3826.0,-45.0,-22.0,40.0,153.08,434.0,-6.0
89,JD2007.DCE,20190807,3863.0,3810.0,3868.0,3868.0,3831.0,3846.0,3848.0,36.0,38.0,136.0,523.35,440.0,28.0
90,JD2007.DCE,20190806,3778.0,3805.0,3763.0,3863.0,3761.0,3863.0,3810.0,58.0,5.0,186.0,708.69,412.0,74.0
91,JD2007.DCE,20190805,3810.0,3814.0,3812.0,3822.0,3773.0,3778.0,3805.0,-36.0,-9.0,202.0,768.68,338.0,72.0
92,JD2007.DCE,20190802,3809.0,3816.0,3808.0,3828.0,3808.0,3810.0,3814.0,-6.0,-2.0,100.0,381.42,266.0,48.0
93,JD2007.DCE,20190801,3830.0,3832.0,3832.0,3832.0,3807.0,3809.0,3816.0,-23.0,-16.0,164.0,625.86,218.0,84.0
94,JD2007.DCE,20190731,3821.0,3860.0,3826.0,3848.0,3821.0,3830.0,3832.0,-30.0,-28.0,56.0,214.62,134.0,36.0
95,JD2007.DCE,20190730,3799.0,3790.0,3891.0,3892.0,3781.0,3821.0,3860.0,31.0,70.0,70.0,270.24,98.0,14.0
96,JD2007.DCE,20190729,,3756.0,3808.0,3812.0,3751.0,3799.0,3790.0,43.0,34.0,102.0,386.66,84.0,
